State,County,metro,Min. Wage,ftmw1,ftmw2,avtw1,avtw2,"aftw2
",fmr0,fmr1,fmr2,fmr3,fmr4,fmr0F1,fmr0F2,fmr0A1,fmr0A2,aftw2,fmr1F1,fmr1F2,fmr1A1,fmr1A2,aftw2,fmr2F1,fmr2F2,fmr2A1,fmr2A2,aftw2,fmr3F1,fmr3F2,fmr3A1,fmr3A2,aftw2,fmr4F1,fmr4F2,fmr4A1,fmr4A2,aftw2
AL,Jackson County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,746,820,38.28%,19.14%,44.38%,22.19%,20.55%,51.88%,25.94%,60.15%,30.08%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,65.25%,32.63%,75.65%,37.83%,35.03%
AL,Jefferson County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",545,652,773,1015,1142,43.37%,21.68%,50.28%,25.14%,23.29%,40.19%,20.09%,46.59%,23.30%,27.86%,61.51%,30.76%,71.32%,35.66%,33.03%,80.77%,40.38%,93.65%,46.82%,43.37%,90.88%,45.44%,105.36%,52.68%,48.79%
AL,Lamar County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,746,894,38.28%,19.14%,44.38%,22.19%,20.55%,37.96%,18.98%,44.01%,22.00%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,71.14%,35.57%,82.48%,41.24%,38.20%
AL,Lauderdale County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",474,477,609,813,816,37.72%,18.86%,43.73%,21.87%,20.25%,43.93%,21.96%,50.93%,25.46%,20.38%,48.46%,24.23%,56.19%,28.09%,26.02%,64.69%,32.35%,75.01%,37.50%,34.74%,64.93%,32.47%,75.29%,37.64%,34.86%
AL,Lawrence County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",457,552,655,908,936,36.37%,18.18%,42.16%,21.08%,19.53%,47.82%,23.91%,55.45%,27.72%,23.58%,52.12%,26.06%,60.43%,30.22%,27.98%,72.25%,36.13%,83.77%,41.89%,38.79%,74.48%,37.24%,86.36%,43.18%,39.99%
AL,Lee County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",597,601,813,1119,1374,47.51%,23.75%,55.08%,27.54%,25.51%,45.84%,22.92%,53.14%,26.57%,25.68%,64.69%,32.35%,75.01%,37.50%,34.74%,89.05%,44.52%,103.24%,51.62%,47.81%,109.34%,54.67%,126.77%,63.38%,58.70%
AL,Limestone County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",515,576,711,978,1033,40.98%,20.49%,47.51%,23.76%,22.00%,52.76%,26.38%,61.17%,30.58%,24.61%,56.58%,28.29%,65.60%,32.80%,30.38%,77.82%,38.91%,90.23%,45.12%,41.79%,82.20%,41.10%,95.31%,47.65%,44.14%
AL,Lowndes County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",628,663,788,1084,1288,49.97%,24.99%,57.94%,28.97%,26.83%,35.25%,17.63%,40.87%,20.44%,28.33%,62.71%,31.35%,72.70%,36.35%,33.67%,86.26%,43.13%,100.01%,50.01%,46.31%,102.49%,51.25%,118.83%,59.42%,55.03%
AL,Macon County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",440,443,599,746,848,35.01%,17.51%,40.60%,20.30%,18.80%,45.84%,22.92%,53.14%,26.57%,18.93%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,67.48%,33.74%,78.24%,39.12%,36.23%
AL,Madison County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",515,576,711,978,1033,40.98%,20.49%,47.51%,23.76%,22.00%,38.04%,19.02%,44.10%,22.05%,24.61%,56.58%,28.29%,65.60%,32.80%,30.38%,77.82%,38.91%,90.23%,45.12%,41.79%,82.20%,41.10%,95.31%,47.65%,44.14%
AL,Marengo County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",475,478,599,796,801,37.80%,18.90%,43.82%,21.91%,20.29%,39.07%,19.54%,45.30%,22.65%,20.42%,47.67%,23.83%,55.26%,27.63%,25.59%,63.34%,31.67%,73.44%,36.72%,34.01%,63.74%,31.87%,73.90%,36.95%,34.22%
AL,Marion County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,491,599,869,872,38.28%,19.14%,44.38%,22.19%,20.55%,35.81%,17.90%,41.52%,20.76%,20.98%,47.67%,23.83%,55.26%,27.63%,25.59%,69.15%,34.58%,80.18%,40.09%,37.13%,69.39%,34.69%,80.45%,40.23%,37.26%
AL,Marshall County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",447,450,599,825,828,35.57%,17.79%,41.24%,20.62%,19.10%,51.88%,25.94%,60.15%,30.08%,19.23%,47.67%,23.83%,55.26%,27.63%,25.59%,65.65%,32.82%,76.12%,38.06%,35.25%,65.89%,32.94%,76.39%,38.20%,35.38%
AL,Mobile County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",624,652,773,1036,1191,49.66%,24.83%,57.57%,28.79%,26.66%,40.19%,20.09%,46.59%,23.30%,27.86%,61.51%,30.76%,71.32%,35.66%,33.03%,82.44%,41.22%,95.58%,47.79%,44.26%,94.77%,47.39%,109.88%,54.94%,50.89%
AL,Monroe County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,883,1061,38.28%,19.14%,44.38%,22.19%,20.55%,52.76%,26.38%,61.17%,30.58%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,70.27%,35.13%,81.47%,40.73%,37.73%,84.43%,42.21%,97.89%,48.94%,45.33%
AL,Montgomery County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",628,663,788,1084,1288,49.97%,24.99%,57.94%,28.97%,26.83%,43.93%,21.96%,50.93%,25.46%,28.33%,62.71%,31.35%,72.70%,36.35%,33.67%,86.26%,43.13%,100.01%,50.01%,46.31%,102.49%,51.25%,118.83%,59.42%,55.03%
AL,Morgan County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",457,552,655,908,936,36.37%,18.18%,42.16%,21.08%,19.53%,36.76%,18.38%,42.62%,21.31%,23.58%,52.12%,26.06%,60.43%,30.22%,27.98%,72.25%,36.13%,83.77%,41.89%,38.79%,74.48%,37.24%,86.36%,43.18%,39.99%
AL,Perry County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",459,462,599,874,894,36.53%,18.26%,42.35%,21.17%,19.61%,35.25%,17.63%,40.87%,20.44%,19.74%,47.67%,23.83%,55.26%,27.63%,25.59%,69.55%,34.77%,80.64%,40.32%,37.34%,71.14%,35.57%,82.48%,41.24%,38.20%
AL,Pickens County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",440,443,599,746,801,35.01%,17.51%,40.60%,20.30%,18.80%,40.58%,20.29%,47.05%,23.53%,18.93%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,63.74%,31.87%,73.90%,36.95%,34.22%
AL,Pike County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",489,510,605,888,891,38.91%,19.46%,45.12%,22.56%,20.89%,38.91%,19.46%,45.12%,22.56%,21.79%,48.14%,24.07%,55.82%,27.91%,25.85%,70.66%,35.33%,81.93%,40.96%,37.94%,70.90%,35.45%,82.21%,41.10%,38.07%
AL,Randolph County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",486,489,619,771,827,38.67%,19.34%,44.84%,22.42%,20.76%,49.97%,24.99%,57.94%,28.97%,20.89%,49.26%,24.63%,57.11%,28.55%,26.45%,61.35%,30.68%,71.13%,35.57%,32.94%,65.81%,32.90%,76.30%,38.15%,35.33%
AL,Russell County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",536,628,745,1026,1319,42.65%,21.33%,49.45%,24.73%,22.90%,51.88%,25.94%,60.15%,30.08%,26.83%,59.28%,29.64%,68.73%,34.37%,31.83%,81.64%,40.82%,94.66%,47.33%,43.84%,104.96%,52.48%,121.69%,60.85%,56.35%
AL,St. Clair County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",545,652,773,1015,1142,43.37%,21.68%,50.28%,25.14%,23.29%,51.88%,25.94%,60.15%,30.08%,27.86%,61.51%,30.76%,71.32%,35.66%,33.03%,80.77%,40.38%,93.65%,46.82%,43.37%,90.88%,45.44%,105.36%,52.68%,48.79%
AL,Shelby County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",545,652,773,1015,1142,43.37%,21.68%,50.28%,25.14%,23.29%,40.74%,20.37%,47.24%,23.62%,27.86%,61.51%,30.76%,71.32%,35.66%,33.03%,80.77%,40.38%,93.65%,46.82%,43.37%,90.88%,45.44%,105.36%,52.68%,48.79%
AL,Sumter County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",487,512,607,756,852,38.75%,19.38%,44.93%,22.47%,20.81%,35.49%,17.75%,41.15%,20.57%,21.88%,48.30%,24.15%,56.00%,28.00%,25.93%,60.16%,30.08%,69.75%,34.87%,32.30%,67.80%,33.90%,78.61%,39.30%,36.40%
AL,Talladega County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",443,446,603,823,826,35.25%,17.63%,40.87%,20.44%,18.93%,37.80%,18.90%,43.82%,21.91%,19.06%,47.98%,23.99%,55.63%,27.82%,25.76%,65.49%,32.75%,75.93%,37.97%,35.16%,65.73%,32.86%,76.21%,38.10%,35.29%
AL,Tallapoosa County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",472,475,599,816,819,37.56%,18.78%,43.55%,21.77%,20.17%,45.52%,22.76%,52.77%,26.39%,20.29%,47.67%,23.83%,55.26%,27.63%,25.59%,64.93%,32.47%,75.29%,37.64%,34.86%,65.17%,32.59%,75.56%,37.78%,34.99%
AL,Tuscaloosa County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",450,572,757,950,1079,35.81%,17.90%,41.52%,20.76%,19.23%,39.95%,19.97%,46.32%,23.16%,24.44%,60.24%,30.12%,69.84%,34.92%,32.34%,75.60%,37.80%,87.65%,43.82%,40.59%,85.86%,42.93%,99.55%,49.78%,46.10%
AL,Walker County,1,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",491,502,608,840,1021,39.07%,19.54%,45.30%,22.65%,20.98%,40.19%,20.09%,46.59%,23.30%,21.45%,48.38%,24.19%,56.10%,28.05%,25.98%,66.84%,33.42%,77.50%,38.75%,35.89%,81.25%,40.62%,94.20%,47.10%,43.62%
AL,Washington County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,883,899,38.28%,19.14%,44.38%,22.19%,20.55%,35.25%,17.63%,40.87%,20.44%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,70.27%,35.13%,81.47%,40.73%,37.73%,71.54%,35.77%,82.94%,41.47%,38.41%
AL,Wilcox County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",440,443,599,746,801,35.01%,17.51%,40.60%,20.30%,18.80%,40.19%,20.09%,46.59%,23.30%,18.93%,47.67%,23.83%,55.26%,27.63%,25.59%,59.36%,29.68%,68.83%,34.41%,31.87%,63.74%,31.87%,73.90%,36.95%,34.22%
AL,Winston County,0,$7.25,"$15,080.00","$30,160.00","$13,006.50","$26,013.00","$28,086.50",481,505,599,820,1061,38.28%,19.14%,44.38%,22.19%,20.55%,55.94%,27.97%,64.86%,32.43%,21.58%,47.67%,23.83%,55.26%,27.63%,25.59%,65.25%,32.63%,75.65%,37.83%,35.03%,84.43%,42.21%,97.89%,48.94%,45.33%
AK,Aleutians East Borough,0,$8.75,"$18,200.00","$36,400.00","$15,697.50","$31,395.00","$33,897.50",599,703,834,1039,1204,39.49%,19.75%,45.79%,22.90%,21.21%,71.74%,35.87%,83.17%,41.59%,24.89%,54.99%,27.49%,63.76%,31.88%,29.52%,68.51%,34.25%,79.43%,39.71%,36.78%,79.38%,39.69%,92.04%,46.02%,42.62%
AK,Aleutians West Census Area,0,$8.75,"$18,200.00","$36,400.00","$15,697.50","$31,395.00","$33,897.50",876,1088,1472,1833,2126,57.76%,28.88%,66.97%,33.48%,31.01%,61.71%,30.86%,71.55%,35.78%,38.52%,97.05%,48.53%,112.53%,56.26%,52.11%,120.86%,60.43%,140.12%,70.06%,64.89%,140.18%,70.09%,162.52%,81.26%,75.26%
AK,Anchorage Municipality,1,$8.75,"$18,200.00","$36,400.00","$15,697.50","$31,395.00","$33,897.50",809,936,1199,1767,2124,53.34%,26.67%,61.84%,30.92%,28.64%,62.84%,31.42%,72.85%,36.43%,33.14%,79.05%,39.53%,91.66%,45.83%,42.45%,116.51%,58.25%,135.08%,67.54%,62.55%,140.04%,70.02%,162.37%,81.18%,75.19%
AK,Bethel Census Area,0,$8.75,"$18,200.00","$36,400.00","$15,697.50","$31,395.00","$33,897.50",832,953,1289,1605,1723,54.86%,27.43%,63.60%,31.80%,29.45%,52.75%,26.37%,61.16%,30.58%,33.74%,84.99%,42.49%,98.54%,49.27%,45.63%,105.82%,52.91%,122.69%,61.35%,56.82%,113.60%,56.80%,131.72%,65.86%,61.00%
